Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/2039523#fruits/4254301,,Rings of Saturn - Songs Compilation (fuhie) [Nise Matati Kisitti Qatiya],NM,1900,,-1900
https://osu.ppy.sh/beatmapsets/1970965#fruits/4238479,,Winterhorde - Worms of Soul (Secre) [Terminus],NM,1830,,-1830
https://osu.ppy.sh/beatmapsets/2098441#fruits/4401651,,trung-nova - Roars of V.E.N.G.E.A.N.C.E -Take Back Everything- (Jemzuu) [Jemzuu vs. Rustyy's Final R.E.T.R.I.B.U.T.I.O.N],NM,1790,,-1790
https://osu.ppy.sh/beatmapsets/2145887#fruits/4519918,,Aoi - King Atlantis (Rocma) [Brine],NM,1740,,-1740
https://osu.ppy.sh/beatmapsets/2384844#fruits/5156881,,DragonForce - Valley of the Damned (CTBWhiteCat) [Apocalypse],DT,1725,,-1725
https://osu.ppy.sh/beatmapsets/2062422#fruits/4312721,,Camellia - Parallel Universe Shifter (Rocma) [3rd parallel universe],NM,1700,,-1700
https://osu.ppy.sh/beatmapsets/2129862#fruits/4478662,,Laur - Viyella's Nightmare (Razor Sharp) [Lucid Reverie],NM,1700,,-1700
https://osu.ppy.sh/beatmapsets/1533028#fruits/3135149,,Camellia - Flamewall (Sotarks) [ETERNAL SACRED FIRE],NM,1700,,-1700
https://osu.ppy.sh/beatmapsets/944317#fruits/1972148,,Chroma - I (Ascendance) [SINNOH'S HEAVENLY],DT,1675,,-1675
https://osu.ppy.sh/beatmapsets/629384#fruits/1328778,,Camellia - Towards The Horizon (Sinnoh) [Vanishing Point],DT,1670,,-1670
https://osu.ppy.sh/beatmapsets/2304147#fruits/4925326,,Toby Fox - THE WORLD REVOLVING (Camellia Remix) (Pepti) [BYE BYE!],HR,1650,,-1650
https://osu.ppy.sh/beatmapsets/2109495#fruits/4427848,,Camellia - Z:iRNiTRA (Razor Sharp) [F:iNAL PRODiGY],NM,1650,,-1650
https://osu.ppy.sh/beatmapsets/2109495#fruits/4427848,,Camellia - Z:iRNiTRA (Razor Sharp) [F:iNAL PRODiGY],NM,1650,,-1650
https://osu.ppy.sh/beatmapsets/2109495#fruits/4427848,,Camellia - Z:iRNiTRA (Razor Sharp) [F:iNAL PRODiGY],NM,1650,,-1650
https://osu.ppy.sh/beatmapsets/2109495#fruits/4427848,,Camellia - Z:iRNiTRA (Razor Sharp) [F:iNAL PRODiGY],NM,1650,,-1650
https://osu.ppy.sh/beatmapsets/1784352#fruits/3654417,,"RoughSketch feat. DD ""Nakata"" Metal - Booths of Fighters (Camellia's ""Barrage of Flurries"" Remix) (50) [The Clamorous Conundrum]",HR,1640,,-1640
https://osu.ppy.sh/beatmapsets/680437#fruits/1438740,,Black Hole - Pluto (Ascendance) [Challenge],DT,1625,,-1625
https://osu.ppy.sh/beatmapsets/680437#fruits/1438740,,Black Hole - Pluto (Ascendance) [Challenge],DT,1625,,-1625
https://osu.ppy.sh/beatmapsets/680437#fruits/1438740,,Black Hole - Pluto (Ascendance) [Challenge],DT,1625,,-1625
https://osu.ppy.sh/beatmapsets/306583#fruits/686192,,onoken - P8107 (CLSW) [Nervous Breakdown],DT,1623,,-1623
https://osu.ppy.sh/beatmapsets/1272026#fruits/2643308,,Demetori - Seijouki no Pierrot ~ The MadPiero Laughs ([ Azu- ]) [Azu & Joakh's Hoax Theory],DT,1620,,-1620
https://osu.ppy.sh/beatmapsets/1888620#fruits/3889606,,trung-nova - Howl in the Night Sky (Jemzuu) [Jemzuu vs. Rocma's BroXen XroniXle],NM,1620,,-1620
https://osu.ppy.sh/beatmapsets/1888620#fruits/3889606,,trung-nova - Howl in the Night Sky (Jemzuu) [Jemzuu vs. Rocma's BroXen XroniXle],NM,1620,,-1620
https://osu.ppy.sh/beatmapsets/1849910#fruits/3800052,,Rings of Saturn - The Heavens Have Fallen (fuhie) [Sacrilegious Lectisternium],HR,1615,,-1615
https://osu.ppy.sh/beatmapsets/2384087#fruits/5155017,,Victorius - Age of Tyranny (CTBWhiteCat) [Apocalypse],DT,1613,,-1613
